               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,             0.07391,            0.051162,             0.02175,             0.64143,             0.56273,             0.62461,              0.3563,            0.072149,            0.034508,            0.020585,            0.005347,            0.005347,            0.005347
                 143,             0.07404,            0.056519,            0.021566,             0.35899,             0.56182,             0.45627,             0.20833,            0.076171,            0.039249,            0.020115,            0.005314,            0.005314,            0.005314
                 144,            0.076235,            0.056924,            0.022208,             0.35899,             0.56182,             0.45627,             0.20833,            0.076171,            0.039229,            0.020115,            0.005281,            0.005281,            0.005281
                 145,            0.072102,            0.057704,            0.021591,             0.45329,             0.56182,             0.51492,             0.23414,            0.074185,            0.039543,            0.020257,            0.005248,            0.005248,            0.005248
                 146,             0.07546,            0.050968,             0.02202,             0.47061,             0.62151,             0.52571,             0.23523,             0.07331,            0.034516,             0.02072,            0.005215,            0.005215,            0.005215
                 147,            0.077638,            0.050032,            0.022293,             0.91957,             0.28195,             0.50077,             0.22025,            0.075715,            0.032701,            0.021569,            0.005182,            0.005182,            0.005182
                 148,            0.077739,            0.054619,            0.021603,             0.91957,             0.28195,             0.50077,             0.22025,            0.075715,            0.032701,            0.021569,            0.005149,            0.005149,            0.005149
                 149,             0.07258,            0.048619,            0.020803,             0.36868,             0.61674,             0.51305,             0.24386,            0.073115,             0.03272,            0.021649,            0.005116,            0.005116,            0.005116
                 150,            0.072548,            0.061688,            0.021315,             0.42552,             0.62364,             0.53575,             0.24773,            0.075316,            0.037174,            0.020243,            0.005083,            0.005083,            0.005083
                 151,            0.075668,            0.057825,            0.022236,             0.21694,             0.59045,             0.43663,             0.20542,            0.071862,            0.035201,            0.021339,             0.00505,             0.00505,             0.00505
                 152,            0.074782,            0.057025,            0.021642,             0.21694,             0.59045,             0.43663,             0.20542,            0.071862,            0.035207,            0.021339,            0.005017,            0.005017,            0.005017
                 153,            0.073967,            0.049666,            0.022194,              0.6432,             0.28677,             0.35817,             0.18014,            0.070786,            0.036442,            0.022488,            0.004984,            0.004984,            0.004984
                 154,            0.072814,            0.045463,            0.022003,             0.53463,             0.60713,             0.51413,              0.2336,            0.071981,            0.035864,            0.020194,            0.004951,            0.004951,            0.004951
                 155,            0.074162,            0.058758,            0.021546,             0.39062,             0.44403,             0.46683,             0.27313,            0.070247,            0.035001,            0.020721,            0.004918,            0.004918,            0.004918
                 156,            0.072238,             0.04379,             0.02093,             0.39062,             0.44403,             0.46683,             0.27313,            0.070247,            0.034983,            0.020721,            0.004885,            0.004885,            0.004885
                 157,            0.073127,            0.053965,            0.021345,             0.34055,             0.46784,             0.45742,             0.26222,            0.070605,            0.034956,            0.020896,            0.004852,            0.004852,            0.004852
                 158,            0.071281,            0.053222,            0.021134,             0.46829,             0.60944,             0.52899,             0.28105,            0.068454,            0.035025,            0.019974,            0.004819,            0.004819,            0.004819
                 159,            0.069703,            0.053571,            0.021103,             0.33222,              0.6061,             0.52582,             0.29568,            0.071927,               0.034,            0.020194,            0.004786,            0.004786,            0.004786
                 160,            0.074848,            0.052204,            0.021799,             0.33222,              0.6061,             0.52582,             0.29568,            0.071927,            0.033994,            0.020194,            0.004753,            0.004753,            0.004753
                 161,            0.073679,            0.053118,            0.021211,             0.44835,             0.59525,             0.51757,             0.30111,            0.071299,            0.032602,            0.020666,             0.00472,             0.00472,             0.00472
